종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1725","63","3.79","1684","1768","1682","681558","1180748639","91686021120","53059040"
"095570","AJ네트웍스","KOSPI",,"4590","-5","-0.11","4620","4675","4575","209094","965488469","207936427605","45252759"
"006840","AK홀딩스","KOSPI",,"8470","-140","-1.63","8610","8630","8470","16220","138046550","112604268500","13247561"
"054620","APS","KOSDAQ","중견기업부","4025","-70","-1.71","4070","4170","3995","56797","229991095","74404623945","18394221"
"265520","AP시스템","KOSDAQ","우량기업부","20500","400","1.99","20500","21000","20000","181763","3718256925","308541830500","15050821"
"211270","AP위성","KOSDAQ","우량기업부","14300","720","5.30","13900","15250","13190","2862809","41099245005","216883531520","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3855","-5","-0.13","3860","3870","3835","72323","278507630","368988229305","95716791"
"282330","BGF리테일","KOSPI",,"103800","-400","-0.38","104500","105000","103500","33048","3437640750","1795797833400","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3725","125","3.47","3630","3760","3605","109586","403331508","234434367765","62766899"
"138930","BNK금융지주","KOSPI",,"15630","-100","-0.64","15810","15980","15520","555412","8690451435","4927042163180","314425154"
"001460","BYC","KOSPI",,"41000","-450","-1.09","41450","41600","40450","6526","267089050","252969075000","6246150"
"001465","BYC우","KOSPI",,"24300","-200","-0.82","24500","25000","24200","268","6542550","52338555000","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1393","-33","-2.31","1426","1439","1383","163710","228079465","107113595526","76894182"
"001040","CJ","KOSPI",,"174800","1500","0.87","173500","175800","170300","105365","18261874050","5091386151000","29176998"
"079160","CJ CGV","KOSPI",,"5810","-10","-0.17","5830","5930","5770","418390","2431458530","960372943600","165581542"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","63700","-3000","-4.50","67300","67500","63400","85308","5475991850","1396887109800","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","9180","-40","-0.43","9220","9240","9050","25595","233331165","119940941160","13065462"
"00104K","CJ4우(전환)","KOSPI",,"154100","800","0.52","152300","154500","150800","6922","1060424050","650882848000","4226512"
"000120","CJ대한통운","KOSPI",,"94900","-100","-0.11","96000","96400","94100","65197","6179358450","2160328976800","22812344"
"011150","CJ씨푸드","KOSPI",,"2880","0","0.00","2895","2900","2855","482455","1386464364","103480626240","35930773"
"011155","CJ씨푸드1우","KOSPI",,"15920","190","1.21","15540","16790","15540","1815","28636790","3184000000","200000"
"001045","CJ우","KOSPI",,"90900","400","0.44","90500","92000","90000","4535","411519200","205454270700","2260223"
"097950","CJ제일제당","KOSPI",,"206500","-500","-0.24","207500","208000","206000","49524","10237933250","3108689409000","15054186"
"097955","CJ제일제당 우","KOSPI",,"138200","-100","-0.07","138500","138500","137400","4435","611460350","183318497300","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","26100","-50","-0.19","26150","26350","25600","15654","406327150","311035553200","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1831","-6","-0.33","1830","1857","1830","422171","775845101","270994721439","147842183"
"056730","CNT85","KOSDAQ","벤처기업부","591","-7","-1.17","598","599","589","23823","14121940","44170266856","74111186"
