선수명,등번호,생년월일,포지션,신장/체중,경력,입단 계약금,연봉,지명순위,입단년도,Team,days,출신초등학교
강민,No.100,2001년 04월 20일,투수(우투우타),188cm/88kg,수유초-홍은중-서울고,8000만원,3000만원,20 LG 2차 4라운드 33순위,,LG 트윈스,9029,수유초
고영웅,No.116,2004년 07월 29일,투수(좌투좌타),180cm/90kg,태전초(경기광주시리틀)-모가중-야로고BC-동원대,3000만원,3000만원,25 LG 10라운드 100순위,,LG 트윈스,7833,태전초
구본혁,No.6,1997년 01월 11일,내야수(우투우타),177cm/75kg,중대초-잠신중-장충고-동국대-LG-상무,5000만원,13500만원,19 LG 2차 6라운드 55순위,19LG,LG 트윈스,10589,중대초
김강률,No.37,1988년 08월 28일,투수(우투우타),187cm/95kg,문촌초(일산리틀)-장성중-경기고-두산-상무-두산,8000만원,10000만원,07 두산 2차 4라운드 26순위,07두산,LG 트윈스,13647,문촌초
김대현,No.12,1997년 03월 08일,투수(우투우타),188cm/100kg,홍연초(마포구리틀)-홍은중-선린인터넷고,27000만원,7500만원,16 LG 1차,16LG,LG 트윈스,10533,홍연초
김도윤,No.107,2005년 02월 17일,내야수(우투우타),180cm/71kg,화중초(덕양구리틀)-경기신일중-야탑고,3000만원,3000만원,24 LG 10라운드 98순위,,LG 트윈스,7630,화중초
김민수,No.16,1998년 03월 18일,내야수(우투우타),184cm/97kg,서화초-동산중-제물포고-롯데-경찰-롯데,11000만원,6000만원,17 롯데 2차 2라운드 13순위,17롯데,LG 트윈스,10158,서화초
김범석,No.55,2004년 05월 21일,포수(우투우타),178cm/110kg,김해삼성초-경남중-경남고,25000만원,4700만원,23 LG 1라운드 7순위,23LG,LG 트윈스,7902,김해삼성초
김성우,No.44,2003년 11월 15일,포수(우투우타),180cm/85kg,성동초-건대부중-배재고,5000만원,3100만원,22 LG 2차 7라운드 67순위,24LG,LG 트윈스,8090,성동초
김성진,No.36,2000년 03월 17일,내야수(우투우타),183cm/100kg,수원신곡초-매향중-야탑고,5000만원,3300만원,19 LG 2차 7라운드 65순위,20LG,LG 트윈스,9428,수원신곡초
김수인,No.103,1997년 10월 19일,내야수(우투우타),178cm/81kg,광주화정초-자양중-신일고-중앙대,,3100만원,20 LG 육성선수,24LG,LG 트윈스,10308,광주화정초
김영우,No.67,2005년 01월 14일,투수(우투우타),185cm/90kg,양원초(서대문구리틀)-신월중-서울고,20000만원,3000만원,25 LG 1라운드 10순위,25LG,LG 트윈스,7664,양원초
김영준,No.35,1999년 01월 12일,투수(우투우타),185cm/90kg,인천연학초-선린중-선린인터넷고,25000만원,4200만원,18 LG 1차,18LG,LG 트윈스,9858,인천연학초
김웅,No.129,2002년 05월 10일,투수(우투우타),191cm/96kg,동막초-동산중-인천고-강릉영동대,,3000만원,25 LG 육성선수,,LG 트윈스,8644,동막초
